"table","field","r_type","description"
"engine_validation_diagnostics.csv","positive_definite_hessian","logical","Whether the glmmTMB standard-error Hessian was positive definite."
"engine_validation_diagnostics.csv","maximum_absolute_gradient","numeric","Maximum absolute raw derivative component reported by the fitted model."
"engine_validation_diagnostics.csv","singular_fit","logical","Whether one or more fitted random-effect variance components were on the boundary at tolerance 1e-4."
"engine_validation_diagnostics.csv","event_block_variance","numeric","Estimated variance of the event-block random intercept."
"engine_validation_diagnostics.csv","observer_variance","numeric","Estimated variance of the observer-cluster random intercept."
"engine_validation_diagnostics.csv","location_variance","numeric","Estimated variance of the generalized-location random intercept."
"engine_validation_diagnostics.csv","dispersion_parameter","numeric","Estimated glmmTMB negative-binomial dispersion parameter; nonapplicable to the binomial validation."
"engine_validation_diagnostics.csv","convergence_message","character","Truncated optimizer or lme4 convergence message."
"engine_validation_diagnostics.csv","status","character","Completion, warning, failure, support, or feasibility classification."
"qa_summary.csv","check","character","Name of a deterministic QA gate."
"qa_summary.csv","status","character","Completion, warning, failure, support, or feasibility classification."
"qa_summary.csv","observed","character","Value observed by the QA gate."
"qa_summary.csv","expected","character","Required value or range for the QA gate."
"qa_summary.csv","tolerance","numeric","Absolute numerical tolerance where applicable."
"output_hash_manifest.csv","file","character","Repository-relative output file included in the hash manifest."
"output_hash_manifest.csv","sha256","character","SHA-256 digest of the exact file bytes."
